Málverkafölsunarmálið	nheng
Sjálfstæðisflokksins	nkeegs
,	,
sagði	sfg3eþ
Helga	nkeo-s
Hjörvar	nkeo-s
byggja	sng
málflutning	nkeo
sinn	fekeo
á	aþ
kviksögum	nvfþ
úr	aþ
DV	as
í	aþ
þinginu	nheþg
um	ao
daginn	nkeog
.	.

Helgi	nken-s
telur	sfg3en
fundinn	nkeog
í	ao
dag	nkeo
staðfestingu	nveo
á	aþ
því	fpheþ
að	c
forsætisráðherra	nken
hafi	svg3en
haft	ssg
afskipti	nhfo
af	aþ
störfum	nhfþ
umboðsmanns	nkee
.	.

Augljóslega	aa
hafi	svg3en
honum	fpkeþ
og	c
forsetum	nkfþ
Alþingis	nhee-s
þótt	c
nauðsynlegt	lhensf
að	cn
gera	sng
forsætisráðherra	nkeþ
grein	nveo
fyrir	aa
hvaða	fsvfn
reglur	nvfn
gildi	svg3fn
en	c
það	fphen
dugi	svg3en
ekki	aa
eitt	lhensf
og	c
sér	lhenof
.	.

Helgi	nken-s
Hjörvar	nken-s
,	,
alþingismaður	nken
(	(
S	x
)	)
:	:
«	«
Forsætisráðherra	nken
kemst	sfm3en
auðvitað	aa
ekki	aa
hjá	aþ
því	fpheþ
að	cn
gera	sng
þinginu	nheþg
grein	nveo
fyrir	aþ
því	fpheþ
hvað	fshen
þarna	aa
var	sfg3eþ
á	aþ
ferðinni	nveþg
og	c
fjalla	sng
um	ao
málið	nheog
á	aþ
þeim	fakeþ
vettvangi	nkeþ
og	c
það	fphen
verður	sfg3en
auðvitað	aa
eftir	aþ
því	fpheþ
gengið	sþghen
.	.
»	»

Helgi	nken-s
segir	sfg3en
forsætisráðherra	nkeo
hafa	sng
í	aþ
fjölmiðlum	nkfþ
borið	ssg
við	aþ
trúnaði	nkeþ
en	c
hann	fpken
geti	svg3en
ekki	aa
verið	ssg
bundinn	sþgken
trúnaði	nkeþ
um	ao
það	faheo
sem	ct
ekki	aa
hafi	svg3en
farið	ssg
fram	aa
í	aþ
samtalinu	nheþg
við	ao
umboðsmann	nkeo
Alþingis	nhee-s
.	.

Helgi	nken-s
Hjörvar	nken-s
:	:
«	«
Og	c
hafi	svg3en
hann	fpken
ekki	aa
með	aþ
ósæmilegum	lkeþsf
hætti	nkeþ
veitt	ssg
umboðsmanni	nkeþ
tiltal	nheo
fyrir	ao
álit	nheo
hans	fpkee
á	aþ
skipan	nveþ
hæstaréttardómara	nkee
,	,
þá	aa
getur	sfg3en
hann	fpken
auðvitað	aa
upplýst	ssg
um	ao
það	fpheo
án	ae
þess	fphee
að	cn
rjúfa	sng
nokkurn	fokeo
trúnað	nkeo
að	c
það	fphen
hafi	svg3en
ekki	aa
verið	ssg
efni	nhen
samtalsins	nheeg
.	.

En	c
því	fpheþ
miður	aam
þá	aa
benda	sfg3fn
yfirlýsingar	nvfn
hans	fpkee
í	aþ
fjölmiðlum	nkfþ
og	c
nú	aa
þessi	faken
fundur	nken
í	ao
dag	nkeo
mjög	aa
eindregið	aa
til	ae
þess	fphee
að	c
þar	aa
hafi	svg3en
hann	fpken
gengið	ssg
langt	aa
úr	aa
fyrir	ao
verksvið	nheo
sitt	feheo
og	c
ógnað	ssg
starfsskilyrðum	nhfþ
umboðsmanns	nkee
Alþingis	nhee-s
,	,
sem	ct
er	sfg3en
grafalvarlegt	lhensf
mál	nhen
.	.
»	»

Samningaviðræðum	nvfþ
frestað	sþghen

Ríkissáttasemjari	nken
ætlar	sfg3en
að	aþ
svo	aa
komnu	lheþsf
máli	nheþ
ekki	aa
að	cn
kalla	sng
samninganefndir	nvfo
sjómanna	nkfe
og	c
útvegsmanna	nkfe
saman	aa
fyrr	aam
en	c
í	aþ
ágúst	nkeþ
.	.

Varaformaður	nken
Sjómannasambands	nhee-s
Íslands	nhee-s
er	sfg3en
mjög	aa
ósáttur	lkensf
við	ao
stöðu	nveo
mála	nhfe
og	c
gagnrýnir	sfg3en
útvegsmenn	nkfo
harðlega	aa
.	.

Kjarasamningar	nkfn
sjómanna	nkfe
hafa	sfg3fn
verið	ssg
lausir	lkfnsf
frá	aþ
áramótum	nhfþ
nema	c
hjá	aþ
vélstjórum	nkfþ
.	.

Konráð	nken-s
Alfreðsson	nken-s
,	,
varaformaður	nken
Sjómannasambands	nhee-s
Íslands	nhee-s
,	,
segir	sfg3en
að	c
þrátt	aa
fyrir	ao
tilraunir	nvfo
samninganefndar	nvee
Sjómannasambandsins	nheegs
til	ae
að	cn
koma	sng
kjaraviðræðum	nvfþ
af	aþ
stað	nkeþ
hafi	svg3fn
útvegsmenn	nkfn
sýnt	ssg
algjört	lheosf
áhugaleysi	nheo
á	aþ
að	cn
ljúka	sng
gerð	nveþ
nýs	lkeesf
samnings	nkee
og	c
reyndar	aa
hafnað	ssg
öllum	fovfþ
hugmyndum	nvfþ
sjómanna	nkfe
um	ao
framvindu	nveo
mála	nhfe
.	.

Konráð	nken-s
Alfreðsson	nken-s
,	,
varaformaður	nken
Sjómannasambands	nhee-s
Íslands	nhee-s
:	:
«	«
Ja	au
,	,
staðan	nveng
er	sfg3en
þannig	aa
að	c
sáttasemjari	nken
vísaði	sfg3eþ
mönnum	nkfþ
bara	aa
heim	aa
núna	aa
fyrir	aþ
þremur	tfkfþ
dögum	nkfþ
síðan	aa
og	c
sagðist	sfm3eþ
kalla	sng
bara	aa
saman	aa
aftur	aa
í	aþ
ágúst	nkeþ
.	.

Hann	fpken
sagðist	sfm3eþ
ekki	aa
sjá	sng
tilgang	nkeo
með	aþ
því	fpheþ
að	c
menn	nkfn
sætu	svg3fþ
lengur	aam
.	.

Við	fp1fn
vísuðum	sfg1fþ
deilunni	nveþg
14.	ta
janúar	nkeo
síðastliðinn	lkeosf
til	ae
sáttasemjara	nkee
og	c
það	fphen
eru	sfg3fn
búnir	lkfnsf
að	cn
vera	sng
17	ta
fundir	nkfn
síðan	aa
og	c
það	fphen
hefur	sfg3en
nákvæmlega	aa
ekkert	fohen
þokast	ssm
í	ao
samkomulagsátt	nveo
þrátt	aa
fyrir	ao
mikinn	lkeosf
vilja	nkeo
.	.

Ég	fp1en
tel	sfg1en
að	c
það	fphen
hafi	svg3en
verið	ssg
mikill	lkensf
vilji	nken
og	c
mikið	aa
búið	lhensf
að	cn
vinna	sng
af	aþ
hendi	nveþ
Sjómannasambandsins	nheegs
í	aþ
þessu	faheþ
máli	nheþ
og	c
leggja	sng
fram	aa
tillögur	nvfo
sem	ct
að	aa
ættu	svg3fþ
að	aþ
okkar	fp1fe
mati	nheþ
að	cn
verða	sng
til	ae
lausnar	nvee
á	aþ
þessari	faveþ
deilu	nveþ
en	c
því	fpheþ
miður	aam
að	aa
þá	aa
virðast	sfm3fn
útvegsmenn	nkfn
sitja	sng
bara	aa
fastir	lkfnsf
í	aþ
einhverju	foheþ
fari	nheþ
og	c
hreinlega	aa
ekki	aa
vilja	sng
semja	sng
.	.

Ég	fp1en
held	sfg1en
að	c
það	fphen
liggi	svg3en
orðið	ssg
ljóst	lhensf
fyrir	aa
að	c
þeir	fpkfn
vilja	sfg3fn
ekki	aa
semja	sng
við	ao
okkur	fp1fo
núna	aa
.	.

Það	fphen
er	sfg3en
að	cn
koma	sng
sjómannadagur	nken
og	c
það	fphen
er	sfg3en
baráttudagur	nken
okkar	fp1fe
og	c
náttúrulega	aa
hátíðisdagur	nken
í	aþ
leiðinni	nveþg
.	.

Við	fp1fn
munum	sfg1fn
funda	sng
með	aþ
okkar	fp1fe
mönnum	nkfþ
og	c
ræða	sng
framhaldið	nheog
og	c
ég	fp1en
á	sfg1en
ekki	aa
von	nveo
á	aþ
öðru	foheþ
en	c
að	c
það	fphen
verði	svg3en
,	,
muni	svg3en
myndast	snm
mjög	aa
góð	lvensf
samstaða	nven
meðal	ae
sjómanna	nkfe
.	.

Þeir	fpkfn
hafa	sfg3fn
sýnt	ssg
það	fpheo
í	aþ
undangengnum	lvfþsf
deilum	nvfþ
við	ao
útvegsmenn	nkfo
að	c
þeir	fpkfn
standa	sfg3fn
saman	aa
sjómenn	nkfn
.	.
»	»

Sérfróðir	lkfnsf
og	c
óháðir	lkfnsf

Eiríkur	nken-s
Tómasson	nken-s
,	,
prófessor	nken
í	aþ
lögum	nhfþ
við	ao
Háskóla	nkeo-s
Íslands	nhee-s
,	,
segir	sfg3en
að	c
til	ae
að	cn
tryggja	sng
hlutlausa	lveosf
sönnun	nveo
í	aþ
málverkamálinu	nheþg
hefðu	svg3fþ
sérfróðir	lkfnsf
matsmenn	nkfn
þurft	ssg
að	cn
vera	sng
dómkvaddir	lkfnsf
.	.

Því	aa
hefði	svg3eþ
ákæruvaldið	nheng
þurft	ssg
að	cn
fara	sng
fram	aa
á	ao
það	fpheo
.	.

Slíkir	fbkfn
sérfróðir	lkfnsf
matsmenn	nkfn
megi	svg3fn
ekki	aa
vera	sng
tengdir	sþgkfn
neinum	fokeþ
sem	ct
tengist	svm3en
dómsmáli	nheþ
með	aþ
beinum	lkeþsf
eða	c
óbeinum	lkeþsf
hætti	nkeþ
.	.

Það	fphen
sé	svg3en
skilyrði	nhen
í	aþ
íslenskum	lvfþsf
réttarfarslögum	nhfþ
.	.

Rætt	sþghen
verður	sfg3en
við	ao
Eirík	nkeo-s
í	aþ
Speglinum	nkeþgs
eftir	ao
fréttir	nvfo
.	.

Landslag	nhen
leikið	sþghen
á	ao
hörpu	nveo

Héraðsdómur	nken-s
Reykjaness	nhee-s
hefur	sfg3en
dæmt	ssg
Pétur	nkeo-s
Þór	nkeo-s
Gunnarsson	nkeo-s
,	,
fyrrverandi	lkeoof
eiganda	nkeo
og	c
framkvæmdastjóra	nkeo
Gallerís	nhee-s
Borgar	nvee-s
,	,
til	ae
að	cn
greiða	sng
Guðrúnu	nveþ-s
Kjarval	nveþ-s
eina	tfveo
milljón	nveo
króna	nvfe
í	ao
miskabætur	nvfo
auk	ae
málskostnaðar	nkee
og	c
dráttarvaxta	nkfe
í	ao
4	ta
ár	nhfo
fyrir	ao
að	cn
selja	sng
falsað	lheosf
málverk	nheo
,	,
sem	ct
merkt	sþghen
var	sfg3eþ
Jóhannesi	nkeþ-s
Kjarval	nkeþ-s
.	.

Pétur	nken-s
Þór	nken-s
var	sfg3eþ
í	ao
fyrradag	nkeo
sýknaður	sþgken
af	aþ
kröfum	nvfþ
ákæruvaldsins	nheeg
í	aþ
stóra	lheþvf
málverkafölsunarmálinu	nheþg
svokallaða	lheþvf
.	.

Guðrún	nven-s
Kjarval	nven-s
fer	sfg3en
með	ao
höfundarrétt	nkeo
að	aþ
verkum	nhfþ
Jóhannesar	nkee-s
S.	as
Kjarvals	nkee-s
en	c
hún	fpven
er	sfg3en
ekkja	nven
sonar	nkee
hans	fpkee
,	,
Sveins	nkee-s
Kjarvals	nkee-s
,	,
og	c
situr	sfg3en
í	aþ
óskiptu	lheþsf
búi	nheþ
þeirra	fpkfe
.	.

Eigandi	nken
málverksins	nheeg
sem	ct
um	aa
ræðir	sfg3en
,	,
danskur	lkensf
maður	nken
að	aþ
nafni	nheþ
Niels	e
Kirschberg	e
,	,
hugðist	sfm3eþ
selja	sng
það	fpheo
á	aþ
listmunauppboði	nheþ
hjá	aþ
uppboðshúsinu	nheþg
Bruun	e
Rasmussen	e
við	ao
Bredgade	e
í	aþ
Kaupmannahöfn	nveþ-s
30.	ta
mars	nkeo
síðastliðinn	lkeosf
.	.

Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
forvörður	nken
benti	sfg3eþ
á	ao
að	c
myndin	nveng
væri	svg3eþ
að	aþ
öllum	fohfþ
líkindum	nhfþ
eftirlíking	nven
af	aþ
mynd	nveþ
eftir	ao
Kjarval	nkeo-s
,	,
Landslag	nhen-s
leikið	sþghen
á	ao
hörpu	nveo
,	,
sem	ct
hangir	sfg3en
uppi	aa
í	aþ
ráðherrabústaðnum	nkeþg
.	.

Niels	e
Kirschberg	e
hafði	sfg3eþ
aftur	aa
á	aa
móti	aa
keypt	ssg
myndina	nveog
á	aþ
uppboði	nheþ
hjá	aþ
Gallerí	nheþ-s
Borg	nveþ-s
árið	nheog
1994	ta
.	.

Í	aþ
lýsingu	nveþ
málsatvika	nhfe
,	,
sem	ct
lögð	sþgven
var	sfg3eþ
fyrir	ao
Héraðsdóm	nkeo-s
Reykjaness	nhee-s
,	,
kemur	sfg3en
fram	aa
að	c
ljóst	lhensf
sé	svg3en
að	c
myndin	nveng
hafi	svg3en
verið	ssg
máluð	sþgven
yfir	ao
aðra	foveo
mynd	nveo
og	c
sú	faven
mynd	nven
var	sfg3eþ
eftir	ao
danska	lkeovf
málarann	nkeog
Mogens	e
Hoff	e
.	.

Til	ae
að	cn
mála	sng
yfir	ao
hana	fpveo
var	sfg3eþ
notuð	sþgven
til	ae
þess	fphee
alkíð	lvensf
málning	nven
en	c
þá	faveo
málningu	nveo
hafi	svg3en
Jóhannes	nken-s
S.	as
Kjarval	nken-s
ekki	aa
notað	ssg
.	.

Þessa	faveo
mynd	nveo
Mogens	e
Hoff	e
sem	ct
síðar	aam
var	sfg3eþ
yfirmáluð	sþgven
keypti	sfg3eþ
Pétur	nken-s
Þór	nken-s
Gunnarsson	nken-s
í	aþ
fyrrnefndu	lheþsf
uppboðshúsi	nheþ
Bruun	e
og	c
Rasmussen	e
í	aþ
Kaupmannahöfn	nveþ-s
,	,
samkvæmt	aþ
gögnum	nhfþ
hússins	nheeg
.	.

Þegar	c
þetta	fahen
komst	sfm3eþ
í	ao
hámæli	nheo
í	aþ
fréttum	nvfþ
í	aþ
síðasta	lkeþve
mánuði	nkeþ
neitaði	sfg3eþ
Pétur	nken-s
Þór	nken-s
því	fpheþ
hins	fakee
vegar	nkee
að	c
hann	fpken
hefði	svg3eþ
nokkru	foheþ
sinni	nheþ
keypt	ssg
myndina	nveog
.	.

Dómþing	nhen
í	aþ
máli	nheþ
Guðrúnar	nvee-s
Kjarval	nvee-s
á	ao
hendur	nvfo
Pétri	nkeþ-s
Þór	nkeþ-s
var	sfg3eþ
haldið	sþghen
12.	ta
maí	nkeo
en	c
Pétur	nken-s
Þór	nken-s
tók	sfg3eþ
ekki	aa
til	ae
varna	nvfe
í	aþ
málinu	nheþg
.	.

Dómurinn	nkeng
féllst	sfm3eþ
í	aþ
framhaldinu	nheþg
á	ao
dómkröfur	nvfo
stefnandans	nkeeg
um	ao
eina	tfveo
milljón	nveo
króna	nvfe
í	ao
miskabætur	nvfo
auk	ae
vaxta	nkfe
.	.

Samkvæmt	aþ
einkamálalögum	nhfþ
á	sfg3en
Pétur	nken-s
þó	aa
enn	aa
möguleika	nkeo
á	aa
fara	sng
fram	aa
á	ao
endurupptöku	nveo
málsins	nheeg
.	.

Seldar	sþgvfn
í	aþ
góðri	lveþsf
trú	nveþ
?	?

Eftir	ao
að	c
sýknudómur	nken
Hæstaréttar	nkee-s
féll	sfg3eþ
í	aþ
stóra	lheþvf
málverkafölsunarmálinu	nheþg
geta	sfg3fn
eigendur	nkfn
þeirra	favfe
fjölmörgu	lvfevf
mynda	nvfe
sem	ct
þar	aa
var	sfg3eþ
um	aa
fjallað	sþghen
selt	ssg
þær	fpvfo
í	aþ
góðri	lveþsf
trú	nveþ
án	ae
þess	fphee
að	c
þeim	fpkfþ
verði	svg3fn
refsað	sþghen
fyrir	ao
það	fpheo
.	.

Þetta	faheo
segir	sfg3en
Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
forvörður	nken
.	.

Ólafur	nken-s
segir	sfg3en
það	fpheo
grafalvarlegt	lheosf
mál	nheo
hvað	fshen
um	ao
myndirnar	nvfog
verður	sfg3en
.	.

Fjallað	sþghen
var	sfg3eþ
um	ao
42	ta
myndir	nvfo
í	aþ
Hæstarétti	nkeþ-s
og	c
100	ta
í	aþ
héraðsdómi	nkeþ
.	.

Ólafur	nken-s
segir	sfg3en
mörg	lhfosf
dæmi	nhfo
þess	fphee
að	c
menn	nkfn
,	,
sem	ct
ekki	aa
eru	sfg3fn
sáttir	lkfnsf
við	ao
að	cn
hafa	sng
keypt	ssg
falsanir	nvfo
,	,
hafi	svg3fn
reynt	ssg
að	cn
koma	sng
þeim	fpvfþ
aftur	aa
í	ao
umferð	nveo
og	c
nefnir	sfg3en
nýlegt	lheosf
dæmi	nheo
.	.

Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
,	,
forvörður	nken
:	:
«	«
Það	fahen
verk	nhen
sem	ct
var	sfg3eþ
keypt	sþghen
hjá	aþ
Gallerí	nheþ-s
Borg	nveþ-s
1994	ta
sem	ct
Jóhannes	nken-s
Kjarval	nken-s
var	sfg3eþ
selt	sþghen
fyrir	aþ
einu	tfheþ
ári	nheþ
síðan	aa
á	ao
1	ta
milljón	nveo
krónur	nvfo
.	.

Það	fphen
átti	sfg3eþ
síðan	aa
að	cn
nota	sng
það	fpheo
fyrir	aþ
1	ta
mánuði	nkeþ
síðan	aa
í	aa
,	,
upp	aa
í	ao
íbúðarkaup	nhfo
og	c
var	sfg3eþ
þá	aa
verðmetið	sþghen
á	ao
1,5	ta
milljón	nveo
.	.

Einstaklingurinn	nkeng
sem	ct
selur	sfg3en
verkið	nheog
núverandi	lkeþof
eiganda	nkeþ
2002	ta
mátti	sfg3eþ
vita	sng
að	c
verkið	nheng
væri	svg3eþ
falsað	lhensf
.	.
»	»

Og	c
nú	aa
er	sfg3en
það	fphen
verðlaust	lhensf
,	,
segir	sfg3en
Ólafur	nken-s
Ingi	nken-s
.	.

Þarna	aa
er	sfg3en
verið	sþghen
að	cn
dreifa	sng
þeirri	faveþ
ábyrgð	nveþ
sem	ct
eigendur	nkfn
gallerísins	nheeg
báru	sfg3fþ
og	c
eiga	sfg3fn
að	cn
bera	sng
yfir	aa
á	ao
aðra	fokfo
aðila	nkfo
sem	ct
annaðhvort	c
selja	sfg3fn
verkin	nhfog
í	aþ
góðri	lveþsf
trú	nveþ
eða	c
gegn	aþ
betri	lveþvm
vitund	nveþ
,	,
segir	sfg3en
Ólafur	nken-s
.	.

En	c
hver	fshfn
hafa	sfg3fn
áhrifin	nhfng
af	aþ
þessu	x
málarekstri	nkeþ
verið	ssg
?	?

Ólafur	nken-s
Ingi	nken-s
Jónsson	nken-s
:	:
«	«
Sko	au
,	,
það	fahen
sem	ct
að	c
ávannst	sfm3eþ
í	aþ
þessu	faheþ
máli	nheþ
helst	aae
af	aþ
öllu	foheþ
er	sfg3en
það	fphen
að	c
árið	nheog
1997	ta
þegar	c
ég	fp1en
lagði	sfg1eþ
fram	aa
kærur	nvfo
að	aa
þá	aa
hættu	sfg3fþ
að	cn
birtast	snm
á	aþ
íslenskum	lkeþsf
markaði	nkeþ
fölsuð	lhfnsf
verk	nhfn
.	.

Starfsemin	nveng
var	sfg3eþ
í	aþ
fullum	lkeþsf
gangi	nkeþ
og	c
þetta	fahen
er	sfg3en
allmennt	x
viðurkennt	sþghen
.	.
»	»

Umræður	nvfn
standa	sfg3fn
enn	aa

Enn	aa
stendur	sfg3en
yfir	aa
á	aþ
Alþingi	nheþ-s
þriðja	lvenvf
umræða	nven
um	ao
fjölmiðlafrumvarp	nheo
forsætisráðherra	nkee
og	c
enn	aa
eru	sfg3fn
átta	tfkfn
á	aþ
mælendaskrá	nveþ
.	.

Halldór	nken-s
Blöndal	nken-s
,	,
forseti	nken
Alþingis	nhee-s
hefur	sfg3en
setið	ssg
á	aþ
fundi	nkeþ
með	aþ
þingflokksformönnum	nkfþ
til	ae
að	cn
ræða	sng
um	ao
störf	nhfo
þingsins	nheeg
framundan	aa
og	c
var	sfg3eþ
honum	fpkeþ
ekki	aa
lokið	sþghen
nú	aa
rétt	aa
áðan	aa
.	.

Ætlunin	nveng
mun	sfg3en
vera	sng
að	cn
greiða	sng
atkvæði	nhfo
um	ao
fjölmiðlafrumvarpið	nheog
á	ao
mánudag	nkeo
,	,
en	c
ljúka	sng
umræðum	nvfþ
í	ao
kvöld	nheo
eða	c
á	ao
morgun	nkeo
.	.

Stjórnarandstaðan	nveng
kveðst	sfm3en
ekki	aa
semja	sng
um	ao
eitt	foheo
eða	c
neitt	foheo
í	aþ
því	faheþ
máli	nheþ
.	.

Þá	aa
er	sfg3en
samkvæmt	aþ
heimildum	nvfþ
fréttastofu	nvee
áætlað	sþghen
að	c
hægt	lhensf
verði	svg3en
að	cn
hafa	sng
eldhúsdagsumræður	nvfo
á	ao
mánudagskvöld	nheo
.	.

Ef	c
svo	aa
er	sfg3en
hlýtur	sfg3en
eitthvert	fohen
samkomulag	nhen
að	cn
vera	sng
í	aþ
sjónmáli	nheþ
um	ao
þinghaldið	nheog
framundan	aa
og	c
afgreiðslu	nveo
eða	c
frestun	nveo
umdeildra	lhfesf
mála	nhfe
svo	aa
sem	c
frumvarps	nhee
um	ao
olíugjald	nheo
og	c
frumvarps	nhee
um	ao
réttindi	nhfo
og	c
skyldur	nvfo
.	.

En	c
hugsanlega	aa
er	sfg3en
eitthvað	fohen
af	aþ
þessu	faheþ
umræðuefni	nheþ
á	aþ
fundi	nkeþ
forseta	nkee
með	aþ
þingflokksformönnum	nkfþ
sem	ct
enn	aa
stendur	sfg3en
.	.

Ólga	nven
í	aþ
Framsókn	nveþ-s

Varaformaður	nken
Framsóknarflokks	nkee-s
segir	sfg3en
ólgu	nveo
hafa	sng
verið	ssg
í	aþ
flokknum	nkeþg
vegna	ae
fjölmiðlafrumvarpsins	nheeg
.	.

Formaður	nken
flokksins	nkeeg
segir	sfg3en
að	c
flokkurinn	nkeng
væri	svg3eþ
ekki	aa
elsti	lkenve
starfandi	lkenof
stjórnmálaflokkur	nken
landsins	nheeg
ef	c
hann	fpken
hefði	svg3eþ
ekki	aa
á	aa
stundum	aa
þurft	ssg
að	cn
takast	snm
á	aa
við	ao
erfið	lhfosf
mál	nhfo
.	.

Formaður	nken
og	c
varaformaður	nken
Framsóknar	nvee-s
játa	sfg3fn
nú	aa
að	c
fjölmiðlafrumvarpið	nheng
hafi	svg3en
reynst	ssm
flokknum	nkeþg
erfiður	lkensf
ljár	nken
í	aþ
þúfu	nveþ
.	.

Halldór	nken-s
Ásgrímsson	nken-s
,	,
formaður	nken
flokksins	nkeeg
kannast	sfm3en
þó	aa
ekki	aa
við	ao
að	c
Jónína	nven-s
Bjartmarz	nven-s
,	,
varaformaður	nken
allsherjarnefndar	nvee
hafi	svg3en
verið	ssg
beitt	sþgven
þrýstingi	nkeþ
vegna	ae
fjölmiðlafrumvarpsins	nheeg
.	.

Halldór	nken-s
Ásgrímsson	nken-s
,	,
utanríkisráðherra	nken
(	(
B	x
)	)
:	:
«	«
Framsóknarflokkurinn	nkengs
stendur	sfg3en
að	aþ
þessu	faheþ
máli	nheþ
og	c
hefur	sfg3en
ávallt	aa
staðið	ssg
að	aþ
því	fpheþ
og	c
við	fp1fn
erum	sfg1fn
að	cn
ljúka	sng
þessari	faveþ
umræðu	nveþ
fljótlega	aa
og	c
munum	sfg1fn
ljúka	sng
málinu	nheþg
annaðhvort	c
í	ao
dag	nkeo
eða	c
á	ao
morgun	nkeo
.	.
»	»

Ólöf	nven-s
Rún	nven-s
Skúladóttir	nven-s
:	:
«	«
Það	fphen
hafa	sfg3fn
komið	ssg
fram	aa
gagnrýnisraddir	nvfn
.	.

Vísarðu	sfg2en
þeim	fpvfþ
á	ao
bug	nkeo
eða	c
horfist	sfm2en
þú	fp2en
ekki	aa
í	ao
augu	nhfo
við	ao
það	faheo
sem	ct
að	x
að	cn
gerast	snm
í	aþ
þínum	fekeþ
flokki	nkeþ
?	?
»	»

Halldór	nken-s
Ásgrímsson	nken-s
:	:
«	«
Ég	fp1en
vísa	sfg1en
aldrei	aa
gagnrýni	nveþ
á	ao
bug	nkeo
.	.

Mér	fp1eþ
finnst	sfm3en
það	fphen
ósköp	nhfn
eðlilegt	lhensf
að	c
það	fphen
komi	svg3fn
fram	aa
mismunandi	lvfnof
skoðanir	nvfn
á	aþ
málum	nhfþ
og	c
Framsóknarflokkurinn	nkengs
væri	svg3eþ
nú	aa
ekki	aa
elsti	lkenve
starfandi	lkenof
stjórnmálaflokkurinn	nkeng
í	ao
dag	nkeo
ef	c
að	c
hann	fpken
hefði	svg3eþ
ekki	aa
einhvern	fokeo
tímann	nkeog
þurft	ssg
að	cn
ganga	sng
í	aa
gegnum	ao
erfið	lhfosf
mál	nhfo
.	.
»	»

Guðni	nken-s
Ágústsson	nken-s
,	,
varaformaður	nken
Framsóknar	nvee-s
segir	sfg3en
Framsóknarflokkinn	nkeogs
munu	sng
jafna	sng
sig	fpkeo
á	aþ
fjölmiðlafrumvarpinu	nheþg
þótt	c
öldur	nvfn
hafi	svg3fn
risið	ssg
hátt	aa
.	.

Guðni	nken-s
Ágústsson	nken-s
,	,
landbúnaðarráðherra	nken
(	(
B	x
)	)
:	:
«	«
Það	fphen
er	sfg3en
engin	foven
spurning	nven
í	aþ
mínum	fekeþ
huga	nkeþ
að	c
það	fphen
hefur	sfg3en
bæði	c
verið	ssg
ólga	nven
í	aþ
mínum	fekeþ
flokki	nkeþ
það	fphen
hefur	sfg3en
verið	ssg
ólga	nven
í	aþ
þjóðfélaginu	nheþg
.	.

Enda	aa
hefur	sfg3en
málið	nheng
verið	ssg
þannig	aa
til	ae
umfjöllunar	nvee
bæði	c
í	aþ
fjölmiðlum	nkfþ
og	c
þinginu	nheþg
að	c
mörgum	lkfþsf
hitnar	sfg3en
í	aþ
hamsi	nkeþ
og	c
margir	lkfnsf
verða	sfg3fn
heitir	lkfnsf
og	c
jafnvel	aa
þó	aa
þeir	fpkfn
átti	svg3fn
sig	fpkfo
ekki	aa
á	aþ
því	fpheþ
um	ao
hvað	fsheo
málið	nheng
snýst	sfm3en
.	.

Þannig	aa
að	c
ég	fp1en
held	sfg1en
nú	aa
að	c
þegar	c
að	c
þessar	favfo
öldur	nvfo
lægi	svg3en
þá	aa
jafnar	sfg3en
Framsóknarflokkurinn	nkengs
sig	fpkeo
enda	c
haft	ssg
mikil	lhfosf
áhrif	nhfo
í	aþ
þessu	faheþ
máli	nheþ
og	c
þjóðfélagið	nheng
áttar	sfg3en
sig	fpheo
líka	aa
á	aþ
því	fpheþ
að	c
þetta	fahen
er	sfg3en
almennt	lhensf
frumvarp	nhen
um	ao
lýðræði	nheo
.	.
»	»

Framsókn	nven-s
og	c
jafnrétti	nhen

Konur	nvfn
á	aþ
málþingi	nheþ
framsóknarkvenna	nvfe
sem	ct
haldið	sþghen
var	sfg3eþ
í	ao
dag	nkeo
telja	sfg3fn
að	c
það	fphen
yrði	svg3eþ
mikil	lvensf
afturför	nven
og	c
stríði	svg3en
gegn	aþ
jafnréttisáætlun	nveþ
flokksins	nkeeg
ef	c
konum	nvfþ
í	aþ
ráðherraliðinu	nheþg
yrði	svg3eþ
fækkað	sþghen
.	.

Þær	fpvfn
krefjast	sfm3fn
þess	fphee
að	c
við	ao
væntanlegar	lvfosf
breytingar	nvfo
á	aþ
ríkisstjórn	nveþ
í	ao
haust	nheo
verði	svg3en
hlutur	nken
kvenna	nvfe
ekki	aa
rýrari	lkenvm
en	c
nú	aa
.	.

Formaður	nken
Ungra	lkfesf
framsóknarmanna	nkfe
telur	sfg3en
ekki	aa
eðlilegt	lheosf
að	c
konurnar	nvfng
geri	svg3fn
kröfu	nveo
um	ao
meira	lheovm
en	c
þriðjung	nkeo
embætta	nhfe
í	aþ
samræmi	nheþ
við	ao
fjölda	nkeo
þeirra	fpvfe
í	aþ
flokknum	nkeþg
.	.

Konurnar	nvfng
eru	sfg3fn
margar	lvfnsf
andvígar	lvfnsf
því	faheþ
áliti	nheþ
.	.

Fjörlegar	lvfnsf
umræður	nvfn
spunnust	sfm3fþ
um	ao
