Verslóritgerðir	nvfn-s
.	.

Árnessýsla	nven-s
er	sfg3en
þekkt	lhensf
jarðskjálftasvæði	nhen
.	.

Árið	nheog
2000	ta
urðu	sfg3fþ
harðir	lkfnsf
jarðskjálftar	nkfn
á	aþ
Suðurlandi	nheþ-s
,	,
enginn	foken
lét	sfg3eþ
lífið	nheog
eða	c
slasaðist	sfm3eþ
alvarlega	aa
,	,
en	c
töluvert	lhensf
tjón	nhen
varð	sfg3eþ
á	aþ
eignum	nvfþ
og	c
námu	sfg3fþ
tjónabætur	nvfn
rúmum	lkfþsf
2,6	ta
milljörðum	nkfþ
króna	nvfe
.	.

Enn	aa
virðist	sfm3en
ekki	aa
séð	sþghen
fyrir	ao
endann	nkeog
á	aþ
afleiðingunum	nvfþg
því	fpheþ
enn	aa
eru	sfg3fn
að	cn
koma	sng
fram	aa
skemmdir	nvfn
á	aþ
húseignum	nvfþ
sem	ct
rekja	sng
má	sfg3en
til	ae
skjálftanna	nkfeg
.	.

Er	c
að	aþ
því	fpheþ
kom	sfg3eþ
að	cn
velja	sng
viðfangsefni	nheo
til	ae
meistaraprófsritgerðar	nvee
lá	sfg3eþ
beint	aa
við	ao
að	cn
rannsaka	sng
frekar	aam
þá	fakfo
þætti	nkfo
sem	ct
liggja	sfg3fn
til	ae
grundvallar	nkee
skipulagi	nheþ
almannavarna	nvfe
á	aþ
Íslandi	nheþ-s
.	.

Jafnframt	aa
er	sfg3en
áhugvert	x
að	cn
líta	sng
til	ae
annarra	fohfe
landa	nhfe
og	c
til	ae
framtíðar	nvee
.	.

Gerð	sþgven
verður	sfg3en
grein	nven
fyrir	aþ
því	fpheþ
hvert	aa
þessar	favfn
niðurstöður	nvfn
leiða	sfg3fn
varðandi	slg
hugmyndir	nvfo
um	ao
frekari	lveovm
þróun	nveo
skipulags	nhee
almannavarna	nvfe
á	aþ
Íslandi	nheþ-s
.	.

Náttúruhamfarir	nvfn
á	ao
borð	nheo
við	ao
snjóflóð	nhfo
,	,
jarðskjálfta	nkfo
og	c
eldgos	nhfo
eru	sfg3fn
nærtækt	lhensf
rannsóknarefni	nhen
.	.

Heimurinn	nkeng
tekur	sfg3en
stöðugum	lvfþsf
breytingum	nvfþ
og	c
því	aa
er	sfg3en
brýnt	lhensf
að	cn
taka	sng
einnig	aa
til	ae
athugunar	nvee
hvernig	aa
bregðast	snm
skuli	svg3en
við	aþ
annars	fokee
konar	nkee
ógn	nveþ
sem	ct
steðja	sng
kann	sfg3en
að	aþ
Íslandi	nheþ-s
og	c
Íslendingum	nkfþ-s
framvegis	aa
.	.

Enginn	foken
sem	ct
upplifir	sfg3en
mannskæð	lhfosf
snjóflóð	nhfo
í	aþ
návígi	nheþ
og	c
björgunarstörf	nhfo
,	,
úrvinnslu	nveo
afleiðinga	nvfe
þeirra	fphfe
,	,
er	sfg3en
ósnortinn	lkensf
og	c
samur	fbken
á	aa
eftir	aa
.	.

Þá	aa
blasir	sfg3en
við	aa
hve	aa
mikilvægt	lhensf
það	fphen
er	sfg3en
að	cn
efla	sng
viðbúnað	nkeo
með	aþ
öllum	fohfþ
mögulegum	lhfþsf
ráðum	nhfþ
.	.

Máltækið	nheng
segir	sfg3en
að	cn
byrgja	sng
skuli	svg3en
brunninn	nkeog
áður	aa
en	c
barnið	nheng
dettur	sfg3en
ofan	aa
í	ao
hann	fpkeo
.	.

Það	fphen
er	sfg3en
kjarni	nken
alls	fokee
viðbúnaðar	nkee
að	cn
koma	sng
í	ao
veg	nkeo
fyrir	ao
ófarir	nvfo
og	c
slys	nhfo
.	.

En	c
það	fphen
krefst	sfm3en
mikils	lheesf
.	.

Stefnumótun	nven
byggð	sþgven
á	aþ
traustum	lkeþsf
grunni	nkeþ
rannsókna	nvfe
og	c
reynslu	nvee
er	sfg3en
afar	aa
mikilvæg	lvensf
.	.

Ef	c
vel	aa
tekst	sfm3en
til	aa
skiptir	sfg3en
hún	fpven
sköpum	nhfþ
.	.

En	c
það	fphen
er	sfg3en
ekki	aa
áhlaupaverk	nhen
og	c
jafnframt	aa
stöðug	lvensf
og	c
þrotlaus	lvensf
vinna	nven
,	,
samvinna	nven
margra	lkfesf
innan	aa
og	c
utan	ae
stjórnsýslunnar	nveeg
.	.

Tilgangurinn	nkeng
hlýtur	sfg3en
að	cn
vera	sng
að	cn
hafa	sng
skarpa	lveosf
sýn	nveo
á	ao
viðfangsefnið	nheog
,	,
vita	sng
hvert	aa
á	sfg3en
að	cn
stefna	sng
og	c
móta	sng
skýr	lhfosf
,	,
raunhæf	lhfosf
markmið	nhfo
þannig	aa
að	c
unnt	lhensf
verði	svg3en
að	cn
koma	sng
í	ao
veg	nkeo
fyrir	ao
manntjón	nheo
og	c
eignatjón	nheo
og	c
koma	sng
til	ae
bjargar	nvee
eins	aa
skjótt	aa
og	c
unnt	lhensf
er	sfg3en
þegar	c
áfall	nhen
hefur	sfg3en
dunið	ssg
yfir	aa
.	.

Tækni	nven
og	c
kunnátta	nven
manna	nkfe
í	aþ
upphafi	nheþ
21.	ta
aldar	nvee
er	sfg3en
mikil	lvensf
og	c
engan	fokeo
veginn	nkeog
sambærileg	lvensf
við	ao
það	faheo
sem	ct
var	sfg3eþ
fyrr	aam
á	aþ
öldum	nvfþ
.	.

Hvort	fohen
tveggja	tfhfe
á	sfg3en
að	cn
nýta	sng
í	aþ
þessu	faheþ
skyni	nheþ
.	.

Ekki	aa
hefur	sfg3en
farið	ssg
mikið	lhensf
fyrir	aþ
rannsóknum	nvfþ
á	aþ
sviði	nheþ
stjórnsýslu	nvee
og	c
skipulagi	nheþ
almannavarna	nvfe
á	aþ
Íslandi	nheþ-s
.	.

Leitað	sþghen
hefur	sfg3en
verið	ssg
fanga	nhfe
í	aþ
lögum	nhfþ
,	,
lagafrumvörpum	nhfþ
,	,
ásamt	aþ
greinargerðum	nvfþ
,	,
og	c
umræðum	nvfþ
um	ao
þau	fphfo
á	aþ
Alþingi	nheþ-s
.	.

Ritaðar	lvfnsf
heimildir	nvfn
eru	sfg3fn
fáar	lvfnsf
nema	c
annálar	nkfn
og	c
fyrst	aae
og	c
fremst	aae
lýsingar	nvfn
á	aþ
náttúruhamförum	nvfþ
,	,
en	c
síður	aam
hvernig	aa
kerfisbundið	aa
var	sfg3eþ
brugðist	sþmhen
við	aþ
þeim	fpvfþ
.	.

Þær	favfn
íslenzkar	x
heimildir	nvfn
sem	ct
stuðzt	sþmhen
verður	sfg3en
við	aa
eru	sfg3fn
meðal	ae
annars	fohee
meistaraprófsritgerð	nven
Ásthildar	nvee-s
Elvu	nvee-s
Bernharðsdóttur	nvee-s
,	,
um	ao
afleiðingar	nvfo
snjóflóðanna	nhfeg
í	aþ
Súðavík	nveþ-s
og	c
á	aþ
Flateyri	nveþ-s
,	,
árið	nheog
2000	ta
,	,
grein	nven
hennar	fpvee
og	c
Gunnars	nkee-s
Helga	nkee-s
Kristinssonar	nkee-s
,	,
um	ao
kúltúrkenningar	nvfo
í	aþ
áfallastjórnun	nveþ
,	,
árið	nheog
2000	ta
og	c
ritgerð	nven
undirritaðs	lkeesf
sem	ct
gerð	sþgven
var	sfg3eþ
á	aþ
námskeiði	nheþ
í	aþ
opinberri	lveþsf
stjórnsýslu	nveþ
1	ta
,	,
haustið	nheog
1999	ta
og	c
var	sfg3eþ
síðar	aam
birt	sþgven
,	,
lítið	aa
breytt	lvensf
,	,
í	aþ
tímaritinu	nheþg
Sveitarstjórnarmálum	nhfþ-s
,	,
árið	nheog
2001	ta
.	.

Einnig	aa
verður	sfg3en
vitnað	sþghen
til	ae
aðila	nkfe
sem	ct
haft	sþghen
var	sfg3eþ
samband	nhen
við	aa
á	aþ
fundum	nkfþ
,	,
símleiðis	aa
eða	c
með	aþ
tölvupósti	nkeþ
,	,
auk	ae
ýmissa	fovfe
erlendra	lvfesf
heimilda	nvfe
.	.

Færi	sfg1en
ég	fp1en
heimildarmönnum	nkfþ
öllum	fokfþ
beztu	lvfove
þakkir	nvfo
.	.

Sérstakar	lvfosf
þakkir	nvfo
fá	sfg3fn
Gunnar	nken-s
Helgi	nken-s
Kristinsson	nken-s
,	,
prófessor	nken
,	,
fyrir	ao
hans	fpkee
leiðsögn	nveo
,	,
Þórdís	nven-s
Jónsdóttir	nven-s
eiginkona	nven
mín	feven
fyrir	ao
einstakt	lheosf
umburðarlyndi	nheo
,	,
fjölskylda	nven
mín	feven
og	c
samstarfsfólk	nhen
fyrir	ao
einstaka	lveosf
þolinmæði	nveo
og	c
skilning	nkeo
.	.

1	ta
.	.

Inngangur	nken
Ritgerðin	nveng
fjallar	sfg3en
um	ao
samanburð	nkeo
á	aþ
skipulagi	nheþ
almannavarna	nvfe
Íslands	nhee-s
,	,
Danmerkur	nvee-s
og	c
Bretlands	nhee-s
.	.

Einnig	aa
verður	sfg3en
tekinn	sþgken
til	ae
athugunar	nvee
aðdragandi	nken
stefnumótunar	nvee
á	aþ
sviði	nheþ
almannavarna	nvfe
á	aþ
Íslandi	nheþ-s
.	.

Danmörk	nven-s
og	c
Bretland	nhen-s
hafa	sfg3fn
á	aþ
undanförnum	lhfþsf
árum	nhfþ
lagt	ssg
mikla	lveosf
vinnu	nveo
í	ao
nýtt	lheosf
heildarskipulag	nheo
almannavarna	nvfe
.	.

Leitast	sþmhen
verður	sfg3en
við	ao
að	cn
komast	snm
að	aþ
niðurstöðu	nveþ
um	aa
hvort	c
uppbygging	nven
almannavarna	nvfe
ráðist	svm3en
af	aþ
stærð	nveþ
ríkjanna	nhfeg
,	,
og	c
er	sfg3en
þá	aa
miðað	sþghen
við	ao
mannfjölda	nkeo
,	,
menningu	nveo
,	,
sögulegum	lkeþsf
grunni	nkeþ
eða	c
fjárframlögum	nhfþ
til	ae
málaflokksins	nkeeg
.	.

Hér	aa
á	aa
eftir	aa
verður	sfg3en
gerð	sþgven
grein	nven
fyrir	aþ
vinnu	nveþ
Dana	nkfe-s
og	c
Breta	nkfe-s
í	aþ
þeim	fahfþ
efnum	nhfþ
.	.

Reynt	sþghen
verður	sfg3en
að	cn
skýra	sng
mun	nkeo
á	aþ
almannavarnaskipulagi	nheþ
ríkjanna	nhfeg
,	,
reynist	svm3en
hann	fpken
vera	sng
fyrir	aþ
hendi	nveþ
og	c
af	aþ
hverju	fsheþ
hann	fpken
stafar	sfg3en
.	.

Íslendingar	nkfn-s
hafa	sfg3fn
löngum	aa
litið	ssg
til	ae
nágrannaríkja	nhfe
þegar	c
að	aþ
því	fpheþ
kemur	sfg3en
að	cn
semja	sng
ný	lhfosf
lög	nhfo
.	.

Einkum	aa
hafa	sfg3fn
Norðurlönd	nhfn-s
orðið	ssg
fyrir	aþ
valinu	nheþg
þegar	c
leitað	sþghen
er	sfg3en
fyrirmynda	nvfe
.	.

Stjórnsýsla	nven
almannavarna	nvfe
byggir	sfg3en
á	aþ
settum	lhfþsf
lögum	nhfþ
Athugað	sþghen
verður	sfg3en
hvort	c
fremur	aam
eigi	svg3en
við	aa
smáskrefakenning	nven
Lindblom	e
eða	c
heildstæðar	lvfnsf
kenningar	nvfn
Simon	e
.	.

Skoðaðar	sþgvfn
verða	sfg3fn
kenningar	nvfn
Kingdon	e
um	ao
það	fpheo
hvenær	aa
mál	nhfn
komast	sfm3fn
á	ao
dagskrá	nveo
.	.

Leitað	sþghen
verður	sfg3en
mögulegra	lvfesf
skýringa	nvfe
,	,
menningarlegra	lvfesf
,	,
sögulegra	lvfesf
og	c
pólitískra	lvfesf
,	,
auk	ae
stefnumótunarskýringa	nvfe
.	.

Hafa	sng
verður	sfg3en
í	aþ
huga	nkeþ
að	c
almannavarnir	nvfn
eru	sfg3fn
viðfangsefni	nhen
bæði	c
ríkisstjórnar	nvee
og	c
sveitarstjórna	nvfe
og	c
verður	sfg3en
samþætting	nven
þeirra	fpvfe
athuguð	sþgven
.	.

Eftir	ao
snjóflóðin	nhfog
á	aþ
Vestfjörðum	nkfþ-s
1995	ta
komst	sfm3eþ
stjórnsýsla	nven
almannavarna	nvfe
á	ao
dagskrá	nveo
ríkisstjórnar	nvee
og	c
Alþingis	nhee-s
.	.

Skipulag	nhen
viðbúnaðar	nkee
gegn	aþ
snjóflóðum	nhfþ
hafði	sfg3eþ
verið	ssg
ófullnægjandi	lhenof
.	.

Manntjón	nhen
var	sfg3eþ
mikið	lhensf
og	c
eignatjón	nhen
einnig	aa
.	.

Stjórnvöld	nhfn
tóku	sfg3fþ
málaflokkinn	nkeog
til	ae
endurskoðunar	nvee
varðandi	slg
viðbúnað	nkeo
.	.

Sett	sþghen
var	sfg3eþ
viðmið	nhen
um	ao
ásættanlega	lveosf
áhættu	nveo
íbúa	nkfe
á	aþ
eigin	lhfþof
heimilum	nhfþ
.	.

Borið	sþghen
verður	sfg3en
saman	aa
það	fahen
skipulag	nhen
og	c
uppbygging	nven
sem	ct
ríkir	sfg3en
á	aþ
Íslandi	nheþ-s
,	,
sem	ct
er	sfg3en
lítið	lhensf
og	c
fámennt	lhensf
ríki	nhen
með	aa
um	ao
313.000	ta
íbúa	nkfo
,	,
Danmerkur	nvee-s
með	ao
um	aa
5,5	ta
milljónir	nvfo
og	c
Bretlands	nhee-s
sem	ct
hefur	sfg3en
um	aa
61	ta
milljón	nveo
íbúa	nkfo
.	.

Tvö	tfhfn
eru	sfg3fn
í	aþ
Evrópusambandinu	nheþgs
og	c
Ísland	nhen-s
eitt	lhensf
utan	ae
þess	fphee
.	.

Því	fpheþ
má	sfg3en
að	aþ
lokum	nhfþ
velta	sng
fyrir	aþ
sér	fpkeþ
hvort	c
það	fphen
hefur	sfg3en
áhrif	nhfo
á	ao
skipulagið	nheog
í	aþ
stærri	lhfþvm
ríkjunum	nhfþg
tveimur	tfhfþ
að	c
þau	fphfn
eru	sfg3fn
í	aþ
Evrópusambandinu	nheþgs
?	?

Það	fphen
er	sfg3en
yfirlýst	lvensf
stefna	nven
dönsku	lveevf
ríkisstjórnarinnar	nveeg
að	cn
efla	sng
samstarf	nheo
á	aa
milli	ae
héraða	nhfe
í	aþ
Danmörku	nveþ-s
og	c
milli	ae
landa	nhfe
á	aþ
grunni	nkeþ
Evrópusambandsins	nheegs
og	c
innan	ae
Atlantshafsbandalagsins	nheegs
,	,
North	e
Atlantic	e
Treaty	e
Organization	e
(	(
NATO	nxen-s
)	)
.	.

Í	aþ
Bretlandi	nheþ-s
og	c
Danmörku	nveþ-s
er	sfg3en
her	nken
en	c
ekki	aa
á	aþ
Íslandi	nheþ-s
.	.

Það	fphen
kann	sfg3en
að	cn
skipta	sng
miklu	lheþsf
að	cn
rækta	sng
alþjóðlegt	lheosf
samstarf	nheo
einkum	aa
á	aþ
sviði	nheþ
tækninnar	nveeg
.	.

Ísland	nhen-s
er	sfg3en
mun	nkeþ
fámennara	lhenvm
en	c
hin	fahfn
ríkin	nhfng
tvö	tfhfn
.	.

Hlutfall	nhen
íbúa	nkfe
á	aþ
Íslandi	nheþ-s
er	sfg3en
um	aa
0,5%	tp
af	aþ
íbúum	nkfþ
Bretlands	nhee-s
og	c
5,5%	tp
af	aþ
íbúum	nkfþ
Danmerkur	nvee-s
.	.

Aðstæður	nvfn
eru	sfg3fn
einnig	aa
aðrar	fovfn
og	c
nægir	sfg3en
að	cn
líta	sng
til	ae
þess	fphee
að	c
tvisvar	aa
á	aþ
rúmu	lheþsf
ári	nheþ
hafa	sfg3fn
yfirvöld	nhfn
í	aþ
Bretlandi	nheþ-s
þurft	ssg
að	cn
glíma	sng
við	ao
hryðjuverk	nhfo
,	,
hinn	gkeo
7.	ta
júlí	nkeo
2005	ta
voru	sfg3fþ
lestir	nvfn
og	c
strætisvagn	nken
sprengd	sþghfn
upp	aa
í	aþ
London	e
og	c
10.	ta
ágúst	nkeo
2006	ta
voru	sfg3fþ
24	ta
hryðjuverkamenn	nkfn
handteknir	sþgkfn
grunaðir	lkfnsf
um	ao
að	cn
ætla	sng
að	cn
sprengja	sng
að	aþ
minnsta	lkeþve
kosti	nkeþ
10	ta
farþegaflugvélar	nvfo
á	aþ
leið	nveþ
frá	aþ
London	e
til	ae
Bandaríkja	nhfe-s
Norður-Ameríku	nvee-s
.	.

Meginverkefnið	nheng
er	sfg3en
samanburður	nken
á	aþ
því	faheþ
kerfi	nheþ
sem	ct
gildir	sfg3en
í	aþ
hverju	foheþ
ríki	nheþ
fyrir	ao
sig	fpheo
og	c
það	fphen
að	cn
draga	sng
ályktanir	nvfo
af	aþ
því	faheþ
sem	ct
ráða	sng
má	sfg3en
af	aþ
stærð	nveþ
ríkjanna	nhfeg
og	c
umfangi	nheþ
ásamt	aþ
því	fpheþ
að	cn
líta	sng
til	ae
sögunnar	nveeg
.	.

Hugtök	nhfn
eru	sfg3fn
nauðsynleg	lhfnsf
til	ae
að	cn
skilgreina	sng
viðfangsefnið	nheog
.	.

Allt	fohen
verður	sfg3en
að	cn
hafa	sng
eitthvert	foheo
heiti	nheo
.	.

Miklu	lheþsf
skiptir	sfg3en
að	cn
fara	sng
yfir	ao
notkun	nveo
hugtaka	nhfe
og	c
hafa	sng
skal	sfg3en
í	aþ
huga	nkeþ
að	c
þýðingar	nvfn
ýmissa	fohfe
þeirra	fphfe
eru	sfg3fn
höfundar	nkfn
og	c
fylgja	sfg3fn
þá	aa
heiti	nhfn
þeirra	fphfe
á	aa
annaðhvort	c
á	aþ
dönsku	nveþ
eða	c
á	aþ
ensku	nveþ
til	ae
að	cn
einfalda	sng
samanburð	nkeo
.	.

Með	aþ
viðbúnaði	nkeþ
er	sfg3en
átt	sþghen
við	ao
undirbúning	nkeo
til	ae
að	cn
mæta	sng
áföllum	nhfþ
,	,
komast	snm
hjá	aþ
tjóni	nheþ
og	c
halda	sng
afleiðingum	nvfþ
í	aþ
lágmarki	nheþ
.	.

Með	aþ
viðbragði	nheþ
er	sfg3en
átt	sþghen
við	ao
þær	favfo
aðgerðir	nvfo
sem	ct
fara	sfg3fn
í	ao
gang	nkeo
þegar	c
áfall	nhen
hefur	sfg3en
orðið	ssg
.	.

Að	cn
bregðast	snm
við	aa
táknar	sfg3en
hér	aa
þau	fahfo
viðbrögð	nhfo
og	c
ráðstafanir	nvfo
sem	ct
er	sfg3en
gripið	sþghen
til	aa
þegar	c
menn	nkfn
standa	sfg3fn
frammi	aa
fyrir	aþ
vanda	nkeþ
sem	ct
viðbúnaðarskipulag	nhen
hefur	sfg3en
ekki	aa
ráðið	ssg
við	aa
.	.

Með	aþ
«	«
reactive	e
»	»
er	sfg3en
átt	sþghen
við	ao
viðnæma	lveosf
háttsemi	nveo
eða	c
viðbragð	nheo
sem	ct
kemur	sfg3en
eftir	aa
á	aa
.	.

Með	aþ
«	«
proactive	e
»	»
er	sfg3en
átt	sþghen
við	ao
frumnæma	lveosf
háttsemi	nveo
eða	c
það	fpheo
að	cn
hugsa	sng
fyrir	aþ
því	fpheþ
hvernig	aa
mæta	sng
skuli	svg3en
óorðnum	lkfþsf
atburðum	nkfþ
með	aþ
sem	ct
beztum	lkeþse
undirbúningi	nkeþ
.	.

Hér	aa
á	aa
eftir	aa
verða	sfg3fn
íslenzku	lhfnvf
heitin	nhfng
notuð	sþghfn
.	.

Á	aþ
Íslandi	nheþ-s
er	sfg3en
talað	sþghen
um	ao
almannavarnir	nvfo
(	(
e	as
:	:
Civil	e
Defence	e
eða	c
Civil	e
Protection	e
)	)
.	.

Í	aþ
Danmörku	nveþ-s
heitir	sfg3en
stofnunin	nveng
sem	ct
fer	sfg3en
með	ao
hlutverk	nheo
líkt	aa
almannavörnum	nvfþ
á	aþ
Íslandi	nheþ-s
,	,
Beredsskabsstyrelsen	e
.	.

Á	aþ
íslenzku	nveþ
verður	sfg3en
hún	fpven
nefnd	sþgven
Viðbúnaðarstjórnin	nvengs
.	.

Heitið	nheng
vísar	sfg3en
til	ae
þess	fphee
að	c
hlutverk	nhen
hennar	fpvee
sé	svg3en
það	fphen
að	cn
stjórna	sng
viðbúnaði	nkeþ
og	c
skipleggja	sng
viðbrögð	nhfo
við	aþ
atburðum	nkfþ
,	,
sem	ct
orðið	ssg
hafa	sfg3fn
eða	c
líklegt	lhensf
er	sfg3en
að	c
verði	svg3fn
.	.

Í	aþ
Englandi	nheþ-s
heitir	sfg3en
stofnunin	nveng
sem	ct
annast	sfm3en
samsvarandi	lheoof
hlutverk	nheo
,	,
UK	e
Resilience	e
,	,
og	c
talað	sþghen
er	sfg3en
um	ao
«	«
civil	e
contingency	e
»	»
.	.

Resilience	e
útleggst	sfm3en
á	aþ
íslenzku	nveþ
sem	ct
þanþol	nhen
eða	c
teygja	nven
og	c
vísar	sfg3en
til	ae
þess	fphee
hver	fohfn
þolmörk	nhfn
eru	sfg3fn
eða	c
geta	sfg3fn
orðið	ssg
og	c
starfar	sfg3en
stofnunin	nveng
með	aþ
öðrum	fovfþ
stofnunum	nvfþ
brezka	lheevf
ríkisins	nheeg
þar	aa
með	aa
talið	sþghen
MI5	x
,	,
brezku	lveþvf
leyniþjónustunni	nveþg
.	.

Civil	e
contingency	e
þýðir	sfg3en
óvissa	nven
,	,
atburður	nken
eða	c
ástand	nhen
sem	ct
er	sfg3en
undir	aþ
einhverju	foheþ
öðru	foheþ
komið	sþghen
,	,
óvænt	lhensf
eða	c
ófyrirséð	lhensf
atvik	nhen
,	,
eitthvað	fohen
sem	ct
kann	sfg3en
að	cn
bera	sng
að	aþ
höndum	nvfþ
.	.

Það	fphen
vísar	sfg3en
til	ae
þess	fphee
að	c
um	ao
sé	svg3en
að	cn
ræða	sng
óvissuástand	nheo
,	,
sem	ct
ekki	aa
er	sfg3en
hægt	lhensf
að	cn
ráða	sng
við	aa
með	aþ
fullnægjandi	lkeþof
hætti	nkeþ
.	.

Strax	aa
verður	sfg3en
dregin	sþgven
sú	faven
ályktun	nven
að	c
hlutverk	nhen
og	c
uppbygging	nven
þessara	favfe
stofnana	nvfe
í	aþ
Danmörku	nveþ-s
og	c
Bretlandi	nheþ-s
sé	svg3en
víðtækara	lhenvm
en	c
gildir	sfg3en
á	aþ
Íslandi	nheþ-s
.	.

Höfuðstöðvar	nvfn
Viðbúnaðarstjórnarinnar	nveegs
(	(
d	x
:	:
Beredskabsstyrelsen	e
)	)
í	aþ
Danmörku	nveþ-s
,	,
sem	ct
nú	aa
annast	sfm3en
samræmingu	nveo
viðbragðsþjónustu	nvee
og	c
björgunar	nvee
,	,
voru	sfg3fþ
heimsóttar	sþgvfn
hinn	gkeo
10.	ta
apríl	nkeo
2006	ta
og	c
rætt	sþghen
var	sfg3eþ
við	ao
forsvarsmenn	nkfo
stofnunarinnar	nveeg
,	,
sem	ct
gáfu	sfg3fþ
ýtarlegar	lvfosf
upplýsingar	nvfo
og	c
staðfestu	sfg3fþ
það	faheo
sem	ct
hér	aa
kemur	sfg3en
fram	aa
.	.

Var	sfg3eþ
það	fphen
gert	sþghen
til	ae
að	cn
afla	sng
nánari	lvfevm
upplýsinga	nvfe
þær	favfo
breytingar	nvfo
sem	ct
gerðar	sþgvfn
höfðu	sfg3fþ
verið	ssg
i	x
Danmörku	nveþ-s
til	ae
þess	fphee
að	cn
bæta	sng
skipulag	nheo
almannavarna	nvfe
.	.

Almannavarnir	nvfo
og	c
skipulag	nheo
þeirra	fpvfe
á	aþ
Íslandi	nheþ-s
þarf	sfg3en
að	cn
taka	sng
til	ae
endurskoðunar	nvee
og	c
taka	sng
mið	nheo
af	aþ
því	faheþ
sem	ct
tíðkast	sfm3en
í	aþ
öðrum	fohfþ
löndum	nhfþ
.	.

Stríð	nhfn
og	c
einkum	aa
náttúruhamfarir	nvfn
eru	sfg3fn
sögulegur	lkensf
grundvöllur	nken
skipulagsins	nheeg
á	aþ
Íslandi	nheþ-s
.	.

Íslendingar	nkfn-s
hafa	sfg3fn
treyst	ssg
á	ao
önnur	fohfo
ríki	nhfo
til	ae
að	cn
fást	snm
við	ao
varnir	nvfo
Íslendinga	nkfe-s
með	aþ
þátttöku	nveþ
sinni	feveþ
í	aþ
NATO	nxeþ-s
og	c
varnarsamningi	nkeþ
við	ao
Bandaríkin	nhfogs
.	.

Danska	lvenvf
ríkisstjórnin	nveng
leggur	sfg3en
mikla	lveosf
áherzlu	nveo
á	ao
að	cn
efla	sng
samskipti	nhfo
viðbragðsaðila	nkfe
í	aþ
Danmörku	nveþ-s
og	c
samstarf	nheo
við	ao
aðrar	fovfo
þjóðir	nvfo
í	aþ
þeim	fahfþ
efnum	nhfþ
eins	aa
og	c
fram	aa
kemur	sfg3en
í	aþ
hinu	gheþ
stefnumarkandi	lheþof
riti	nheþ
«	«
Et	e
robust	e
og	e
sikkert	e
samfund	e
-	-
Regerings	e
politik	e
for	e
beredskabet	e
i	e
Danmark	e
.	.
»	»

Hið	ghen
sama	fbhen
er	sfg3en
uppi	aa
á	aþ
teningnum	nkeþg
hjá	aþ
Bretum	nkfþ-s
.	.

Þeir	fpkfn
breyttu	sfg3fþ
fyrra	lheþvm
skipulagi	nheþ
sem	ct
kennt	sþghen
er	sfg3en
við	ao
Civil	e
Defence	e
í	ao
UK	e
Resilience	e
og	c
líkist	sfm3en
það	fphen
nú	aa
því	faheþ
kerfi	nheþ
sem	ct
er	sfg3en
í	aþ
Danmörku	nveþ-s
.	.

Á	aþ
heimasíðu	nveþ
UK	e
Resilience	e
mátti	sfg3eþ
strax	aa
lesa	sng
um	ao
hryðjuverkaógnina	nveog
vegna	ae
flugsins	nheeg
10.	ta
ágúst	nkeo
2006	ta
.	.

Lykilorðið	nheng
í	aþ
danska	lheþvf
og	c
brezka	lheþvf
skipulaginu	nheþg
virðist	sfm3en
vera	sng
samstarf	nhen
margra	lvfesf
stofnana	nvfe
,	,
þar	aa
koma	sfg3fn
meðal	ae
annars	fohee
að	aa
leyniþjónusta	nven
Breta	nkfe-s
,	,
MI5	x
,	,
í	aþ
Bretlandi	nheþ-s
og	c
herinn	nkeng
í	aþ
Danmörku	nveþ-s
.	.

Rannsakað	sþghen
verður	sfg3en
í	aþ
þessum	fakeþ
þætti	nkeþ
hvaða	fsvfn
reglur	nvfn
gilda	sfg3fn
í	aþ
hverju	foheþ
ríkjanna	nhfeg
þriggja	tfhfe
,	,
hvernig	aa
þær	fpvfn
hafa	sfg3fn
þróast	ssm
,	,
að	aþ
hvaða	fsheþ
leyti	nheþ
þær	fpvfn
líkjast	sfm3fn
og	c
að	aþ
hvaða	fsheþ
leyti	nheþ
þær	fpvfn
eru	sfg3fn
frábrugðnar	lvfnsf
.	.

Haft	sþghen
var	sfg3eþ
samband	nhen
við	ao
báðar	fovfo
stofnanir	nvfo
með	aþ
tölvupósti	nkeþ
og	c
í	aþ
síma	nkeþ
og	c
óskað	sþghen
eftir	aþ
því	fpheþ
að	c
bent	sþghen
yrði	svg3eþ
á	ao
ritaðar	lvfosf
heimildir	nvfo
.	.

Þau	fahfn
svör	nhfn
fengust	sfm3fþ
að	c
afar	aa
lítið	lhensf
væri	svg3eþ
til	aa
af	aþ
útgefnu	lheþsf
efni	nheþ
um	ao
almannavarnir	nvfo
í	aþ
Danmörku	nveþ-s
og	c
Bretlandi	nheþ-s
umfram	ao
það	faheo
efni	nheo
sem	ct
birt	sþghen
er	sfg3en
á	aþ
heimasvæði	nheþ
viðkomandi	lvfeof
stofnana	nvfe
á	aþ
netinu	nheþg
.	.

Stuðzt	sþmhen
er	sfg3en
við	ao
þær	favfo
útgáfur	nvfo
sem	ct
til	aa
eru	sfg3fn
á	aþ
netinu	nheþg
frá	aþ
UK	e
Resilience	e
og	c
Viðbúnaðarstjórnarinnar	nveegs
í	aþ
Danmörku	nveþ-s
,	,
á	aþ
vefsíðum	nvfþ
