Fossavatnsgangan	nvengs
R14	x
.	.

Öryggisbúnaður	nken
:	:
4	ta
öryggispúðar	nkfn
,	,
ABS	as
.	.

Vél	nven
:	:
4	ta
strokkar	nkfn
,	,
1.390	ta
rsm.	as
,	,
16	ta
ventlar	nkfn
.	.

Olíuskipti	nhfn
:	:
Á	aþ
30.000	ta
km	as
fresti	nkeþ
.	.

Afl	nhen
:	:
75	ta
hestöfl	nhfn
við	ao
5.000	ta
sn.	as
/	/
mín.	as

Tog	nhen
:	:
126	ta
Nm	as
við	ao
3.800	ta
sn.	as
/	/
mín.	as

Eyðsla	nven
:	:
6,4	ta
lítrar	nkfn
í	aþ
blönduðum	lkeþsf
akstri	nkeþ
.	.

Gírkassi	nken
:	:
Fimm	tfkfe
gíra	nkfe
beinskiptur	lkensf
.	.

Hröðun	nven
:	:
12,9	ta
sekúndur	nvfn
úr	aþ
kyrrstöðu	nveþ
í	aþ
100	ta
km	as
/	/
klst.	as

Hámarkshraði	nken
:	:
172	ta
km	as
/	/
klst.	as

Hemlar	nkfn
:	:
Diskar	nkfn
að	c
framan	aa
og	c
aftan	aa
,	,
kældir	lkfnsf
að	aa
framan	aa
,	,
ABS	as
og	c
EBD	as
.	.

Verð	nhen
:	:
Líklega	aa
um	aa
1.495.000	ta
kr.	as

Umboð	nhen
:	:
Hekla	nven-s
hf.	as

SKÖMMU	lheþsf
áður	aa
en	c
blaðamannafundur	nken
Nissan	e
hófst	sfm3eþ
á	aþ
bílasýningunni	nveþg
í	aþ
Tókýó	nxeþ-s
var	sfg3eþ
afhjúpaður	sþgken
splunkunýr	lkensf
GT-R	x
sportbíll	nken
,	,
sem	ct
enginn	foken
,	,
nema	c
innvígðir	lkfnsf
Nissan-menn	nkfn-s
,	,
vissi	sfg3eþ
að	c
til	aa
stóð	sfg3eþ
að	cn
frumsýna	sng
á	aþ
sýningunni	nveþg
.	.

Carlos	e
Ghosn	e
,	,
stjórnarformaður	nken
Nissan	e
,	,
afhjúpaði	sfg3eþ
bílinn	nkeog
sem	ct
er	sfg3en
í	aþ
hugmyndaútfærslu	nveþ
enn	aa
sem	c
komið	sþghen
er	sfg3en
.	.

Öruggt	lhensf
er	sfg3en
að	c
bíllinn	nkeng
verður	sfg3en
smíðaður	sþgken
og	c
hann	fpken
verður	sfg3en
líklega	aa
fáanlegur	lkensf
í	aþ
Evrópu	nveþ-s
innan	ae
tveggja	tfhfe
ára	nhfe
.	.

Eins	aa
og	c
fyrri	lvfnvm
gerðir	nvfn
GT-R	x
er	sfg3en
bíllinn	nkeng
með	aþ
stórum	lhfþsf
loftinntökum	nhfþ
að	c
framan	aa
og	c
stóru	lheþsf
grilli	nheþ
og	c
afturljós	nhfo
sem	ct
minna	sfg3fn
mest	aae
á	ao
Ferrari	e
.	.

Nissan	e
gaf	sfg3eþ
ekki	aa
mikið	lheosf
upp	aa
um	aa
hvaða	fsken
búnaður	nken
væri	svg3eþ
í	aþ
bílnum	nkeþg
.	.

Heyrst	ssm
hefur	sfg3en
að	c
Nissan	e
hafi	svg3en
uppi	aa
áform	nhfo
um	ao
að	cn
hafa	sng
auk	ae
aflmikillar	lveesf
bensínvélar	nvee
í	aþ
bílnum	nkeþg
litla	lkfosf
og	c
létta	lkfosf
rafmótora	nkfo
við	ao
hvert	foheo
hjól	nheo
,	,
sem	ct
auka	sfg3fn
enn	aa
frekar	aam
á	ao
aflið	nheog
og	c
bæta	sfg3fn
auk	ae
þess	fphee
veggripið	nheog
.	.

Með	aþ
þessu	faheþ
móti	nheþ
kemst	sfm3en
Nissan	e
ennfremur	aa
framhjá	aþ
japönskum	lvfþsf
reglugerðum	nvfþ
sem	ct
kveða	sfg3fn
á	aa
um	ao
hámarksafl	nheo
frá	aþ
bensínvélum	nvfþ
.	.

Hugsanlegt	lhensf
er	sfg3en
talið	sþghen
að	c
GT-R	x
verði	svg3en
með	ao
aflmeiri	lveovm
útgáfu	nveo
af	aþ
3,6	ta
lítra	nkfe
V6	x
vélinni	nveþg
í	aþ
Z-bílnum	nkeþgs
,	,
með	aþ
tveimur	tfvfþ
forþjöppum	nvfþ
og	c
yfir	aa
400	ta
hestafla	nhfe
.	.

Bíllinn	nkeng
verður	sfg3en
með	aþ
tölvustýrðu	lheþsf
fjórhjóladrifi	nheþ
eins	aa
og	c
núverandi	lvenof
gerð	nven
og	c
ráðgert	sþghen
er	sfg3en
að	c
hann	fpken
verði	svg3en
með	aþ
sjö	tfkfe
hraða	nkfe
CVT-reimskiptingu	nveþ
.	.

júlí	nkeo
1933	ta
.	.

Hún	fpven
lést	sfm3eþ
á	aþ
líknardeild	nveþ
Landspítalans	nkeegs
í	aþ
Kópavogi	nkeþ-s
16.	ta
nóvember	nkeo
.	.

Hún	fpven
var	sfg3eþ
dóttir	nven
hjónanna	nhfeg
Ragnheiðar	nvee-s
Sigurðardóttur	nvee-s
,	,
f.	as
8.12.	ta
1909	ta
,	,
d.	as
26.1.	ta
1998	ta
,	,
og	c
Auðuns	nkee-s
Sigurðssonar	nkee-s
,	,
f.	as
.	.
22.9.	ta
1904	ta
,	,
d.	as
4.4.	ta
1971	ta
.	.

Hún	fpven
var	sfg3eþ
ein	tfven
þriggja	tfhfe
barna	nhfe
þeirra	fphfe
.	.

Systkini	nhfn
Lilju	nvee-s
eru	sfg3fn
:	:
Sigurður	nken-s
Auðunsson	nken-s
,	,
f.	as
11.12.	ta
1929	ta
,	,
d.	as
5.4.	ta
1986	ta
,	,
giftur	lkensf
Ingunni	nveþ-s
Vígmundsdóttur	nveþ-s
,	,
f.	as
20.2.	ta
1928	ta
,	,
og	c
eiga	sfg3fn
þau	fphfn
þrjú	tfhfo
börn	nhfo
.	.

Ólafía	nven-s
Auðunsdóttir	nven-s
,	,
f.	as
17.11.	ta
1937	ta
,	,
gift	lvensf
Birgi	nkeþ-s
Baldurssyni	nkeþ-s
,	,
þau	fphfn
skildu	sfg3fþ
,	,
eiga	sfg3fn
þau	fphfn
tvo	tfkfo
syni	nkfo
.	.

Lilja	nven-s
kvæntist	sfm3eþ
10.7.	ta
1954	ta
Páli	nkeþ-s
Torp	nkeþ-s
,	,
f.	as
23.8.	ta
1927	ta
.	.

Þeirra	fphfe
börn	nhfn
eru	sfg3fn
:	:
Elísabet	nven-s
Auður	nven-s
Torp	nven-s
,	,
f.	as
29.3.	ta
1971	ta
,	,
sambýlismaður	nken
hennar	fpvee
er	sfg3en
Erling	nken-s
Rúnar	nken-s
Huldarsson	nken-s
,	,
f.	as
26.7.	ta
1970	ta
,	,
og	c
eiga	sfg3fn
þau	fphfn
tvær	tfvfo
dætur	nvfo
,	,
Írisi	nveo-s
Ósk	nveo-s
,	,
f.	as
5.8.	ta
1993	ta
,	,
og	c
Lilju	nveo-s
Dögg	nveo-s
,	,
f.	as
21.7.	ta
1999	ta
.	.

Kristján	nken-s
Eðvald	nken-s
Torp	nken-s
,	,
f.	as
9.5.	ta
1972	ta
,	,
eiginkona	nven
hans	fpkee
er	sfg3en
Daenthai	e
Phalee	e
,	,
f.	as
25.12.	ta
1979	ta
,	,
og	c
eiga	sfg3fn
þau	fphfn
eina	tfveo
dóttur	nveo
,	,
Elísabetu	nveo-s
Praowphilai	e
,	,
f.	as
1.1.	ta
2000	ta
.	.

Fyrstu	lhfove
uppvaxtarár	nhfo
ævi	nvee
sinnar	fevee
bjó	sfg3eþ
Lilja	nven-s
á	aþ
Akranesi	nheþ-s
en	c
flutti	sfg3eþ
síðar	aam
til	ae
Reykjavíkur	nvee-s
með	aþ
foreldrum	nkfþ
sínum	fekfþ
.	.

Lilja	nven-s
lauk	sfg3eþ
námi	nheþ
frá	aþ
Húsmæðraskólanum	nkeþgs
í	aþ
Hveragerði	nheþ-s
1950	ta
og	c
frá	aþ
Fósturskóla	nkeþ-s
Íslands	nhee-s
1960	ta
.	.

Einnig	aa
sótti	sfg3eþ
hún	fpven
ýmis	fohfo
námskeið	nhfo
varðandi	slg
andleg	lhfosf
málefni	nhfo
og	c
vann	sfg3eþ
mikið	aa
að	aþ
þeim	fphfþ
hin	ghfo
síðustu	lhfove
ár	nhfo
.	.

Lilja	nven-s
starfaði	sfg3eþ
sem	c
fóstra	nven
og	c
síðar	aam
forstöðumaður	nken
á	aþ
leikskólum	nkfþ
Dagvistar	nvee-s
barna	nhfe
.	.

Útför	nven
Lilju	nvee-s
fer	sfg3en
fram	aa
á	ao
morgun	nkeo
,	,
mánudaginn	nkeog
27.	ta
nóv.	as
frá	aþ
Fella-	nveþ-s
og	c
Hólakirkju	nveþ-s
og	c
hefst	sfm3en
athöfnin	nveng
kl.	as
13.30	ta
.	.

Ef	c
Jesú	nken-s
að	aþ
þér	fp2eþ
snýr	sfg3en
Með	aþ
ástarhóti	nheþ
Líttu	sbg2en
þá	aa
hjartahýr	lkensf
Honum	fpkeþ
á	aa
móti	aþ
.	.

(	(
12.	ta
sálmur	nken
,	,
Hallgrímur	nken-s
Pétursson	nken-s
.	.
)	)
Það	fphen
er	sfg3en
margs	lheesf
að	cn
minnast	snm
þegar	c
mín	feven
kæra	lvenvf
vinkona	nven
Lilja	nven-s
E.	as
A.	as
Torp	nven-s
kveður	sfg3en
.	.

Fyrst	aae
man	sfg1en
ég	fp1en
eftir	aþ
þessari	faveþ
stórglæsilegu	lveþvf
konu	nveþ
heima	aa
hjá	aþ
afa	nkeþ
sínum	fekeþ
og	c
ömmu	nveþ
á	aþ
Laugavegi	nkeþ-s
24	ta
b	x
,	,
en	c
þar	aa
bjó	sfg3eþ
vinkona	nven
mín	feven
sem	ct
var	sfg3eþ
yngsta	lvenve
dóttir	nven
þessara	fahfe
heiðurshjóna	nhfe
.	.

Þegar	c
ég	fp1en
kynntist	sfm1eþ
þessu	faheþ
fólki	nheþ
vann	sfg3eþ
afinn	nkeng
sem	ct
verkamaður	nken
á	aþ
grjótmulningsvélinni	nveþg
við	ao
Tungu	nveo-s
á	aþ
Suðurlandsbraut	nveþ-s
.	.

Á	ao
kvöldin	nhfog
gerði	sfg3eþ
hann	fpken
m.a.	as
við	ao
skó	nkfo
barna	nhfe
sinna	fehfe
og	c
amma	nven
hennar	fpvee
stóð	sfg3eþ
í	aþ
stafni	nkeþ
með	ao
allan	fokeo
barnahópinn	nkeog
en	c
systkinin	nhfng
voru	sfg3fþ
10	ta
alls	fohee
.	.

Einhver	fohfn
þeirra	fphfe
voru	sfg3fþ
gift	lhfnsf
þegar	c
ég	fp1en
kynnist	sfm1en
þeim	fphfþ
,	,
t.d.	as
móðir	nven
Lilju	nvee-s
sem	ct
var	sfg3eþ
gift	lvensf
vinsælum	lkeþsf
lögreglumanni	nkeþ
,	,
Auðuni	nkeþ-s
,	,
og	c
móðir	nven
hennar	fpvee
var	sfg3eþ
ein	tfven
af	aþ
þessum	favfþ
afburðamömmum	nvfþ
sem	ct
saumaði	sfg3eþ
,	,
prjónaði	sfg3eþ
,	,
heklaði	sfg3eþ
,	,
sinnti	sfg3eþ
heimili	nheþ
sínu	feheþ
-	-
börnin	nhfng
voru	sfg3fþ
þrjú	tfhfn
-	-
og	c
sá	sfg3eþ
um	ao
veislur	nvfo
og	c
veisluföng	nhfo
síðar	aam
á	aþ
ævinni	nveþg
.	.

Það	fphen
var	sfg3eþ
mikið	aa
hlegið	sþghen
,	,
spilað	sþghen
og	c
spjallað	sþghen
á	aþ
Laugavegi	nkeþ-s
24	ta
b	x
og	c
margir	lkfnsf
litu	sfg3fþ
inn	aa
í	ao
þá	fakfo
daga	nkfo
enda	c
Laugavegurinn	nkengs
í	aþ
þjóðbraut	nveþ
.	.

Síðar	aam
-	-
miklu	lheþsf
síðar	aam
hitti	sfg1eþ
ég	fp1en
Lilju	nveo-s
aftur	aa
á	aþ
Laugaveginum	nkeþgs
en	c
nú	aa
í	aþ
bakaríi	nheþ
sem	ct
var	sfg3eþ
á	aþ
Laugavegi	nkeþ-s
5	ta
.	.

Hún	fpven
var	sfg3eþ
þá	aa
nýútskrifuð	lvensf
úr	aþ
Fóstruskóla	nkeþ-s
Sumargjafar	nvee-s
,	,
enn	aa
föngulegri	lvenvm
,	,
glæsilegri	lvenvm
og	c
jafn	aa
hláturmild	lvensf
og	c
forðum	aa
.	.

Hún	fpven
var	sfg3eþ
einnig	aa
búin	lvensf
að	cn
gifta	sng
sig	fpveo
Páli	nkeþ-s
Torp	nkeþ-s
stýrimanni	nkeþ
.	.

Ég	fp1en
falaðist	sfm1eþ
eftir	aþ
henni	fpveþ
til	ae
starfa	nhfe
í	aþ
leikskólanum	nkeþg
Tjarnarborg	nveþ-s
.	.

Heppnin	nveng
var	sfg3eþ
með	aþ
mér	fp1eþ
,	,
börnunum	nhfþg
og	c
öðru	foheþ
starfsfólki	nheþ
,	,
hún	fpven
hóf	sfg3eþ
störf	nhfo
og	c
stóð	sfg3eþ
traust	lvensf
og	c
einlæg	lvensf
í	aþ
starfi	nheþ
í	aþ
gamla	lheþvf
húsinu	nheþg
sem	ct
þá	aa
stóð	sfg3eþ
til	ae
að	cn
rífa	sng
-	-
þetta	fahen
var	sfg3eþ
fyrir	ao
tíma	nkeo
húsverndunar	nvee
.	.

Lilja	nven-s
var	sfg3eþ
sérlega	aa
barngóð	lvensf
,	,
lagði	sfg3eþ
sig	fpveo
fram	aa
í	aþ
starfi	nheþ
sínu	feheþ
og	c
hlaut	sfg3eþ
aðdáun	nveo
og	c
þakklæti	nheo
fyrir	aa
.	.

Hún	fpven
var	sfg3eþ
óþrjótandi	lvenof
uppspretta	nven
með	ao
leiki	nkfo
,	,
gönguferðir	nvfo
,	,
fræðslu	nveo
,	,
föndur	nheo
alls	fokee
konar	nkee
sem	c
börnin	nhfng
unnu	sfg3fþ
með	aþ
henni	fpveþ
og	c
skemmtu	sfg3fþ
sér	fphfþ
við	aa
.	.

Það	fphen
er	sfg3en
mörgum	lkfþsf
leikskólakennurum	nkfþ
minnisstætt	lhensf
hversu	aa
gott	lhensf
var	sfg3eþ
alltaf	aa
að	cn
leita	sng
til	ae
Lilju	nvee-s
með	ao
alls	fokee
konar	nkee
leiðir	nvfo
til	ae
fjáröflunar	nvee
og	c
kynningar	nvee
á	aþ
stéttinni	nveþg
og	c
störfum	nhfþ
hennar	fpvee
.	.

Hún	fpven
lá	sfg3eþ
ekki	aa
á	aa
ekki	aa
á	aþ
liði	nheþ
sínu	feheþ
þar	aa
frekar	aam
en	c
við	ao
uppeldi	nheo
barnanna	nhfeg
og	c
umönnun	nveo
.	.

Gleði	nven
hennar	fpvee
og	c
hugmyndaríki	nhen
réði	sfg3eþ
þar	aa
ferðinni	nveþg
.	.

Við	fp1fn
nutum	sfg1fþ
að	cn
vera	sng
saman	aa
og	c
koma	sng
hugmyndum	nvfþ
okkar	fp1fe
á	ao
framfæri	nheo
svo	aa
sem	c
foreldrafundum	nkfþ
,	,
útgáfu	nveþ
söngtexta	nkfe
til	ae
foreldra	nkfe
,	,
heimsóknir	nvfn
í	ao
fyrirtæki	nhfo
til	ae
fræðslu	nvee
barnanna	nhfeg
og	c
margt	lhensf
fleira	lhenvm
.	.

En	c
svo	aa
kom	sfg3eþ
Páll	nken-s
stýrimaður	nken
sem	ct
reyndar	aa
var	sfg3eþ
orðinn	sþgken
skipstjóri	nken
og	c
réð	sfg3eþ
Lilju	nveo-s
sem	ct
bryta	nkeo
á	ao
eitt	tfheo
Sambandsskipanna	nhfe-s
.	.

Ég	fp1en
hafði	sfg1eþ
ekkert	foheo
að	cn
bjóða	sng
sem	c
yfirbauð	sfg3eþ
slíkt	fbheo
.	.

Ég	fp1en
minnist	sfm1en
þess	fphee
hvað	fshen
við	fp1fn
skemmtum	sfg1fþ
okkur	fp1fþ
þegar	c
verðandi	lkfnof
skipsfélagar	nkfn
hennar	fpvee
komu	sfg3fþ
í	ao
heimsókn	nveo
í	ao
Tjarnarborg	nveo-s
og	c
sögðu	sfg3fþ
við	ao
hana	fpveo
:	:

Það	fphen
er	sfg3en
tvennt	lhensf
sem	ct
þú	fp2en
þarft	sfg2en
að	cn
athuga	sng
áður	aa
en	c
þú	fp2en
hefur	sfg2en
störf	nhfo
.	.

Þú	fp2en
þarft	sfg2en
að	cn
geta	sng
spælt	ssg
tvö	tfhfo
egg	nhfo
svo	aa
þau	fphfn
líti	svg3fn
út	aa
eins	aa
og	c
eitt	tfhen
(	(
samningar	nkfn
hljóðuðu	sfg3fþ
upp	aa
á	ao
eitt	tfheo
egg	nheo
,	,
sögðu	sfg3fþ
þeir	fpkfn
)	)
og	c
svo	aa
getur	sfg2en
þú	fp2en
alls	fohee
ekki	aa
fengið	ssg
herbergi	nheo
með	aþ
útsýni	nheþ
til	ae
suðurs	nhee
.	.

Þetta	fahen
var	sfg3eþ
alveg	aa
ókunnugur	lkensf
heimur	nken
,	,
allt	fohen
annar	foken
en	c
sá	faken
sem	ct
við	fp1fn
starfsystur	nvfn
hennar	fpvee
höfðum	sfg1fþ
verið	ssg
með	aþ
henni	fpveþ
í	aa
-	-
en	c
hún	fpven
sigldi	sfg3eþ
um	ao
höfin	nhfog
til	ae
ótal	nhen
landa	nhfe
í	ao
2	ta
-	-
3	ta
ár	nhfo
a.m.k.	as
En	c
Lilja	nven-s
kom	sfg3eþ
sem	c
betur	aam
fer	sfg3en
aftur	aa
til	ae
starfa	nhfe
með	aþ
börnum	nhfþ
Reykjavíkur	nvee-s
,	,
bæði	c
með	ao
einkarekstur	nkeo
og	c
sem	c
forstöðumaður	nken
/	/
leikskólastjóri	nken
í	aþ
tveimur	tfvfþ
borgum	nvfþ
.	.

Lilja	nven-s
var	sfg3eþ
sístarfandi	slg
,	,
hún	fpven
nam	sfg3eþ
fræði	nhfo
um	ao
tarotspil	nhfo
,	,
sálarrannsóknir	nvfo
o.f.l.	as

Þar	aa
lágu	sfg3fþ
starfssvið	nhfn
okkar	fp1fe
ekki	aa
saman	aa
-	-
en	c
sjálfri	fbveþ
sér	fpveþ
lík	lvensf
var	sfg3eþ
hún	fpven
fyrr	aam
en	c
varir	sfg3en
farin	sþgven
að	cn
kenna	sng
þessi	fahfo
áhugamál	nhfo
sín	fehfo
.	.

En	c
þessi	fahfn
mál	nhfn
gerðu	sfg3fþ
styrk	nkeo
hennar	fpvee
meiri	lkeovm
og	c
sýndi	sfg3eþ
óbifanlegan	lkeosf
dugnað	nkeo
hennar	fpvee
.	.

En	c
sólargeislarnir	nkfng
sem	ct
skinu	sfg3fþ
skærast	lheose
hjá	aþ
þeim	fphfþ
hjónum	nhfþ
Lilju	nveþ-s
og	c
Páli	nkeþ-s
voru	sfg3fþ
börnin	nhfng
þeirra	fphfe
.	.

Þau	fphfn
eru	sfg3fn
Elísabet	nven-s
Auður	nven-s
og	c
Kristján	nken-s
Eðvald	nken-s
.	.

Það	fphen
hefur	sfg3en
verið	ssg
sérstök	lvensf
gleði	nven
að	cn
fylgjast	snm
með	aþ
ánægjulegu	lheþsf
sambandi	nheþ
foreldranna	nkfeg
við	ao
þau	fphfo
og	c
litlu	lhfovf
barnabörnin	nhfog
.	.

Börnin	nhfng
hafa	sfg3fn
líka	aa
sýnt	ssg
dugnað	nkeo
í	aþ
störfum	nhfþ
og	c
námi	nheþ
og	c
hafa	sfg3fn
enn	aa
fremur	aam
þá	aa
tryggð	nveo
sem	ct
er	sfg3en
svo	aa
rík	lvensf
í	aþ
þessari	faveþ
fjölskyldu	nveþ
.	.

Ég	fp1en
sendi	sfg1en
Páli	nkeþ-s
,	,
börnum	nhfþ
þeirra	fphfe
og	c
öllum	fokfþ
í	aþ
fjölskyldunni	nveþg
mínar	fevfo
dýpstu	lvfove
samúðarkveðjur	nvfo
.	.

Elín	nven-s
Torfadóttir	nven-s
Tíminn	nkeng
er	sfg3en
afstæður	lkensf
og	c
stundum	aa
þykir	sfg3en
manni	nkeþ
örfáar	lvfnsf
mínútur	nvfn
lengi	aa
að	cn
líða	sng
en	c
áraraðir	nvfn
fljúga	sfg3fn
áfram	aa
án	ae
þess	fphee
að	c
hægt	lhensf
sé	svg3en
að	cn
festa	sng
á	aþ
þeim	fpvfþ
hendur	nvfo
.	.

Vinátta	nven
okkar	fp1fe
Lilju	nvee-s
Torp	nvee-s
náði	sfg3eþ
yfir	ao
42	ta
ár	nhfo
eða	c
frá	aþ
því	fpheþ
að	c
við	fp1fn
hittumst	sfm1fþ
fyrst	aae
í	aþ
sumarleyfi	nheþ
á	aþ
Egilsstöðum	nkfþ-s
um	ao
verslunarmannahelgina	nveog
1958	ta
.	.

Það	fahen
sumarleyfi	nhen
og	c
það	fahen
ferðalag	nhen
var	sfg3eþ
ævintýri	nhen
hið	ghen
mesta	lhenve
,	,
en	c
ekki	aa
verður	sfg3en
sú	faven
saga	nven
rakin	sþgven
hér	aa
.	.

Þetta	fahen
haust	nhen
var	sfg1eþ
ég	fp1en
búin	lvensf
að	cn
fá	sng
skólavist	nveo
í	aþ
Fóstruskólanum	nkeþgs
,	,
en	c
Lilja	nven-s
stefndi	sfg3eþ
á	ao
húsmæðrakennaranám	nheo
.	.

Páll	nken-s
maður	nken
Lilju	nvee-s
hafði	sfg3eþ
tekið	ssg
sér	fpkeþ
frí	nheo
frá	aþ
sjónum	nkeþg
þetta	faheo
sumar	nheo
og	c
höfðu	sfg3fþ
þau	fphfn
ferðast	ssm
vítt	aa
og	c
breitt	aa
um	ao
landið	nheog
,	,
en	c
ég	fp1en
var	sfg1eþ
á	aþ
vikuflakki	nheþ
með	aþ
þremur	tfvfþ
vinkonum	nvfþ
mínum	fevfþ
þegar	c
fundum	nkfþ
okkar	fp1fe
bar	sfg3eþ
saman	aa
.	.

Okkur	fp1fþ
varð	sfg3eþ
strax	aa
vel	aa
til	ae
vina	nkfe
og	c
það	fphen
tók	sfg3eþ
mig	fp1eo
ekki	aa
langan	lkeosf
tíma	nkeo
að	cn
telja	sng
Lilju	nveþ-s
hughvarf	nheo
og	c
fá	sng
hana	fpveo
til	ae
að	cn
breyta	sng
áætlunum	nvfþ
sínum	fevfþ
um	ao
nám	nheo
og	c
úr	aa
varð	sfg3eþ
að	c
við	fp1fn
fórum	sfg1fþ
báðar	fovfn
í	ao
Fóstruskólann	nkeogs
um	ao
haustið	nheog
.	.

Lilja	nven-s
sagði	sfg3eþ
oft	aa
að	c
þetta	fahen
væri	svg3eþ
sitt	fehen
mesta	lhenve
gæfuspor	nhen
,	,
næst	aþe
því	fpheþ
að	cn
giftast	snm
Palla	nkeþ-s
og	c
seinna	aam
eignast	snm
sín	fehfo
tvö	tfhfo
yndislegu	lhfovf
börn	nhfo
,	,
Elísabetu	nveo-s
og	c
Kristján	nkeo-s
.	.

Þessu	faheþ
er	sfg1en
ég	fp1en
,	,
ásamt	aþ
öllum	fokeþ
þeim	fakeþ
fjölda	nkeþ
barna	nhfe
er	ct
Lilja	nven-s
annaðist	sfm3eþ
,	,
sem	aa
og	c
öðrum	fokfþ
er	ct
til	aa
þekktu	sfg3fþ
á	aþ
löngum	lkeþsf
starfsferli	nkeþ
,	,
sammála	lvenof
.	.

Hún	fpven
hafði	sfg3eþ
til	ae
að	cn
bera	sng
alveg	aa
sérstaka	lveosf
innsýn	nveo
í	ao
tilfinningar	nvfo
og	c
líðan	nveo
ekki	aa
bara	aa
skjólstæðinga	nkfe
sinna	fekfe
,	,
barnanna	nhfeg
,	,
fjölskyldu	nvee
sinnar	fevee
,	,
heldur	c
og	aa
allra	fokfe
vina	nkfe
og	c
jafnvel	aa
ókunnugra	lkfesf
sem	ct
á	aþ
vegi	nkeþ
hennar	fpvee
urðu	sfg3fþ
.	.

Lilja	nven-s
hafði	sfg3eþ
sérgáfu	nveo
og	c
sá	sfg3eþ
og	c
skynjaði	sfg3eþ
margt	lheosf
sem	ct
öðrum	fokfþ
var	sfg3eþ
hulið	lhensf
.	.

Sem	c
barn	nhen
sá	sfg3eþ
hún	fpven
eitt	foheo
og	c
annað	foheo
,	,
atburði	nkfo
og	c
fólk	nheo
,	,
en	c
er	c
hún	fpven
sagði	sfg3eþ
frá	aþ
þessu	faheþ
var	sfg3eþ
hún	fpven
afgreidd	sþgven
með	aþ
því	fpheþ
að	c
þetta	fahen
væri	svg3eþ
rugl	nhen
og	c
ímyndun	nven
.	.

Margar	lvfosf
þessar	favfo
æsku-	nvee
og	c
síðari	lkfevm
tíma	nkfe
upplifanir	nvfo
stytti	sfg3eþ
Lilja	nven-s
sér	fpveþ
stundir	nvfo
við	ao
að	cn
skrifa	sng
niður	aa
í	aþ
veikindum	nhfþ
sínum	fehfþ
þessi	fahfo
sl.	as
tvö	tfhfo
ár	nhfo
og	c
eru	sfg3fn
þær	fpvfn
með	aþ
ólíkindum	nhfþ
,	,
en	c
svo	aa
trúverðugar	lvfnsf
að	c
ég	fp1en
,	,
sem	ct
tel	sfg1en
mig	fp1eo
efasemdarkonu	nveo
,	,
trúi	sfg1en
því	fpheþ
öllu	foheþ
fastlega	aa
.	.

Lilju	nveo-s
stóð	sfg1eþ
ég	fp1en
aldrei	aa
að	aþ
ósannsögli	nveþ
ekki	aa
einu	foheþ
sinni	nheþ
hvítri	lveþsf
lygi	nveþ
sem	ct
við	fp1fn
grípum	sfg1fn
flest	lhfnse
til	aa
einhverntíma	aa
á	aþ
ævinni	nveþg
til	ae
að	cn
firra	sng
okkur	fp1fo
vandræðum	nhfþ
.	.

Hún	fpven
var	sfg3eþ
ákaflega	aa
heiðarleg	lvensf
og	c
heilsteypt	lvensf
manneskja	nven
,	,
fór	sfg3eþ
gjarnan	aa
sínar	fevfo
eigin	lvfoof
leiðir	nvfo
,	,
fylgdi	sfg3eþ
ekki	aa
fjöldanum	nkeþg
,	,
elti	sfg3eþ
ekki	aa
tískustrauma	nkfo
,	,
en	c
hafði	sfg3eþ
sinn	fekeo
eigin	lkeoof
stíl	nkeo
enda	c
var	sfg3eþ
hún	fpven
listræn	lvensf
og	c
sá	sfg3eþ
fegurð	nveo
í	aþ
fjölbreyttustu	lkfþve
hlutum	nkfþ
.	.

Kom	sfg3eþ
hún	fpven
mér	fp1eþ
oft	aa
á	ao
óvart	lheosf
og	c
kenndi	sfg3eþ
mér	fp1eþ
eins	aa
og	c
svo	aa
margt	lheosf
annað	foheo
að	cn
líta	sng
hina	gkfo
ýmsu	fokfo
hluti	nkfo
í	aþ
öðru	foheþ
ljósi	nheþ
heldur	aam
en	c
ég	fp1en
hafði	sfg1eþ
leitt	ssg
hugann	nkeog
að	aa
áður	aa
.	.

Margir	lkfnsf
,	,
þ.á.m.	as
bekkjarsystur	nvfn
okkar	fp1fe
,	,
töldu	sfg3fþ
víst	aa
oft	aa
,	,
að	c
það	fphen
væri	svg1eþ
ég	fp1en
sem	ct
hjálpaði	svg1eþ
Lilju	nveþ-s
,	,
m.a.	as
í	aþ
skóla	nkeþ
,	,
en	c
það	fphen
var	sfg3eþ
öðru	foheþ
nær	aþm
.	.

Við	fp1fn
lásum	sfg1fþ
oft	aa
saman	aa
og	c
Lilja	nven-s
var	sfg3eþ
afar	aa
næm	lvensf
og	c
greind	lvensf
,	,
en	c
hún	fpven
var	sfg3eþ
lesblind	lvensf
,	,
sem	ct
við	fp1fn
áttuðum	sfg1fþ
okkur	fp1fo
ekki	aa
á	aa
fyrr	aam
en	c
seint	aa
og	c
síðar	aam
meir	aam
.	.

Hún	fpven
gat	sfg3eþ
ekki	aa
með	aþ
nokkru	foheþ
móti	nheþ
gert	ssg
greinarmun	nkeo
á	aþ
einföldum	lhfþsf
og	c
tvöföldum	lhfþsf
samhljóðum	nhfþ
.	.

Öll	fohfn
ypsilon	nhfn
voru	sfg3fþ
á	aþ
sínum	fekeþ
stað	nkeþ
,	,
greinir	nken
